2025-02-06 22:31:07.498 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:31:10.896 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W5sZmlsZQ%3D%3D
2025-02-06 22:31:11.792 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:31:42.257 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:31:43.979 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:32:21.121 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W5sZmlsZQ%3D%3D
2025-02-06 22:32:21.679 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:32:25.790 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:32:27.141 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:32:33.977 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:32:48.806 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:32:52.962 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:32:59.682 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:33:01.827 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:33:06.684 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X13sZmlsZQ%3D%3D
2025-02-06 22:33:10.109 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:33:11.790 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:33:19.934 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:33:26.713 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:33:30.721 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:33:36.535 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:33:37.543 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:33:40.422 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:33:42.516 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:33:45.509 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:33:47.243 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:33:51.548 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:33:55.249 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:33:58.758 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:34:00.031 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:34:04.609 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:34:28.379 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:34:32.831 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:34:34.004 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:34:36.717 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:34:38.885 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 22:34:55.348 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-06 23:00:28.702 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-07 01:21:32.397 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-07 01:21:37.415 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W5sZmlsZQ%3D%3D
2025-02-07 01:21:38.326 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W5sZmlsZQ%3D%3D
2025-02-07 01:21:42.642 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-07 01:21:45.364 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W5sZmlsZQ%3D%3D
2025-02-07 01:21:53.291 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-5-22ms037.ipynb#X11sZmlsZQ%3D%3D
2025-02-07 01:21:55.913 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-5-22ms037.ipynb#X11sZmlsZQ%3D%3D
2025-02-07 01:21:58.774 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:22:01.337 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:22:27.644 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X22sZmlsZQ%3D%3D
2025-02-07 01:22:30.427 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W5sZmlsZQ%3D%3D
2025-02-07 01:22:33.431 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W6sZmlsZQ%3D%3D
2025-02-07 01:22:35.243 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X10sZmlsZQ%3D%3D
2025-02-07 01:22:37.523 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X22sZmlsZQ%3D%3D
2025-02-07 01:22:40.256 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X23sZmlsZQ%3D%3D
2025-02-07 01:22:43.124 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X10sZmlsZQ%3D%3D
2025-02-07 01:23:06.294 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X11sZmlsZQ%3D%3D
2025-02-07 01:23:11.012 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X23sZmlsZQ%3D%3D
2025-02-07 01:23:13.816 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X24sZmlsZQ%3D%3D
2025-02-07 01:23:23.640 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X11sZmlsZQ%3D%3D
2025-02-07 01:23:26.183 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X24sZmlsZQ%3D%3D
2025-02-07 01:23:28.739 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X25sZmlsZQ%3D%3D
2025-02-07 01:23:30.772 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X11sZmlsZQ%3D%3D
2025-02-07 01:23:31.888 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X12sZmlsZQ%3D%3D
2025-02-07 01:23:33.411 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:23:38.070 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:23:48.328 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X12sZmlsZQ%3D%3D
2025-02-07 01:23:56.224 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:24:06.650 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X12sZmlsZQ%3D%3D
2025-02-07 01:24:09.743 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X11sZmlsZQ%3D%3D
2025-02-07 01:24:09.749 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:24:10.839 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X12sZmlsZQ%3D%3D
2025-02-07 01:24:22.751 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:24:44.556 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X10sZmlsZQ%3D%3D
2025-02-07 01:24:49.429 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X12sZmlsZQ%3D%3D
2025-02-07 01:24:49.907 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:25:02.773 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X11sZmlsZQ%3D%3D
2025-02-07 01:25:05.068 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X14sZmlsZQ%3D%3D
2025-02-07 01:25:06.007 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X14sZmlsZQ%3D%3D
2025-02-07 01:25:17.530 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X14sZmlsZQ%3D%3D
2025-02-07 01:26:50.371 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X14sZmlsZQ%3D%3D
2025-02-07 01:26:56.295 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X14sZmlsZQ%3D%3D
2025-02-07 01:28:34.529 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X12sZmlsZQ%3D%3D
2025-02-07 01:28:58.105 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:29:07.552 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X12sZmlsZQ%3D%3D
2025-02-07 01:29:23.326 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:29:46.624 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X14sZmlsZQ%3D%3D
2025-02-07 01:30:06.855 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X12sZmlsZQ%3D%3D
2025-02-07 01:30:08.332 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X13sZmlsZQ%3D%3D
2025-02-07 01:30:16.857 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#X12sZmlsZQ%3D%3D
